n,m,xi,b,b_direct,b_discrepancy,source_peak,source_bound,source_ratio,y_over_m,H_ratio,lower_clock_ratio,upper_clock_ratio,moment_error
64,4,0.0004536414992133564,0.9978724998075694,0.9978724998075883,1.887379141862766e-14,0.14207511091786176,5959.571770746582,2.3839818762693312e-05,0.0005000450903380062,1.1653721519566105,2.171085518163974,0.0009844479029577167,7.563394355258879e-16
64,4,0.0005134844804855499,0.9975921459387204,0.9975921459387251,4.773959005888173e-15,0.14201541733402478,4976.739934974661,2.8535832530848904e-05,0.0005659312180627302,1.1650695296564793,2.1709105318005575,0.0011141567643948736,8.049116928532385e-16
64,4,0.0005812217624638172,0.9972748927134685,0.9972748927134631,5.329070518200751e-15,0.14194789045492323,4157.320978981916,3.41440776818933e-05,0.0006404868577238224,1.1647271324181214,2.1707125279197204,0.0012609324798814833,9.71445146547012e-16
64,4,0.0006578947368421052,0.9969158960623591,0.9969158960623901,3.097522238704187e-14,0.1418715085077499,3473.9823262679115,4.0838293112493184e-05,0.0007248494962331047,1.164339754215267,2.1704884886764773,0.001427014127992424,1.1102230246251565e-15
64,8,0.000244140625,0.9984943110817879,0.9984943110818456,5.773159728050814e-14,0.5707584053737788,15733.72123255758,3.627612291698139e-05,0.00031227938956069116,1.3606072474684856,2.5186893657703595,0.000614764306997891,0.0
64,8,0.00027634689994396273,0.9982958675409367,0.9982958675410103,7.360778653264788e-14,0.5705544123061684,13170.141334106464,4.33218139298638e-05,0.00035344140704710096,1.3603865919651341,2.51851665513065,0.0006957919901431116,1.6653345369377348e-16
64,8,0.00031280172690898334,0.9980712971384021,0.998071297138523,1.2090328738167955e-13,0.5703236169312388,11029.09608555334,5.171082131366028e-05,0.00040002414353956453,1.3601368982667075,2.51832121276763,0.0007874888963785311,1.6653345369377348e-16
64,8,0.00035406556171638964,0.9978171676672711,0.9978171676673675,9.636735853746359e-14,0.5700625138123063,9240.35079506843,6.169273509795194e-05,0.00045274008712251177,1.359854355391336,2.518100054501546,0.0008912569468636362,4.163336342344337e-17
64,8,0.0004007727937832634,0.9975295981816552,0.9975295981817247,6.94999613415348e-14,0.5697671435534414,7745.416501875083,7.356184698595703e-05,0.0005123949867798707,1.3595346551324003,2.5178498065588726,0.001008681449218808,2.636779683484747e-16
64,8,0.0004536414992133564,0.9972042009269074,0.9972042009269693,6.183942247162122e-14,0.569433035278988,6495.577199302711,8.7664732141143e-05,0.000579899951094763,1.3591729280075462,2.517566655317045,0.001141554855231618,3.191891195797325e-16
64,8,0.0005134844804855499,0.9968360159235136,0.9968360159236056,9.203748874142548e-14,0.5690551421820628,5450.249401816022,0.00010440900961201036,0.0006562850859803736,1.3587636711883007,2.517246290737225,0.0012919035314397029,4.163336342344337e-16
64,8,0.0005812217624638172,0.9964194373226759,0.9964194373227429,6.694644838489694e-14,0.5686277694106134,4575.617949652294,0.00012427343708926224,0.0007427148586070467,1.358300667471794,2.5168838427406253,0.0014620179063701171,4.163336342344337e-16
64,8,0.0006578947368421052,0.9959481305591676,0.9959481305592206,5.295763827461997e-14,0.5681444935093422,3843.5014304367846,0.00014781950879741884,0.0008405053949963388,1.3577768942651343,2.5164738097098605,0.0016544863969164103,2.7755575615628914e-16
64,24,0.000244140625,0.9916990079222352,0.9916990079222181,1.709743457922741e-14,14.881633781996356,19718.39579956461,0.0007547081381906813,0.0008648862114007798,1.4869457135780235,6.963919240966785,0.0016997606153201818,-2.1649348980190553e-15
64,24,0.00027634689994396273,0.9906135686943828,0.9906135686944051,2.2315482794965646e-14,14.845896357516986,16690.316943549296,0.0008894915781245744,0.0009785088703333801,1.4862792725701752,6.959198611264573,0.0019226216517840597,-2.581268532253489e-15
64,24,0.00031280172690898334,0.9893876143955181,0.9893876143955325,1.432187701766452e-14,14.805555139185529,14138.906810553404,0.0010471499202565316,0.0011069888529001881,1.4855258472757422,6.953866122527483,0.00217450114410743,-2.4424906541753444e-15
64,24,0.00035406556171638964,0.9880033480421146,0.9880033480421098,4.884981308350689e-15,14.760033367803466,11987.621766762319,0.0012312728625396008,0.0012522495233487265,1.4846742217823834,6.9478440707827795,0.002459121623360688,-3.164135620181696e-15
64,24,0.0004007727937832634,0.9864408273889217,0.9864408273889627,4.0967229608668276e-14,14.708686555466572,10172.399172077196,0.0014459407566153413,0.0014164578610695415,1.4837117720917317,6.941045327451657,0.002780667711691669,-3.9968028886505635e-15
64,24,0.0004536414992133564,0.9846777364670711,0.9846777364670753,4.218847493575595e-15,14.650795795933126,8639.598913527225,0.0016957726790990295,0.0016020538319541852,1.4826242998987473,6.933372319178183,0.0031438392375313776,-3.2751579226442118e-15
